Setp Count,Reward,Steps Time,Time to MaxSetp,Stress,Stress2
1400,0.19,28,28,14,5
5067,0.17,101,101,51,9
3700,1.18,74,74,37,3
217,0.10,4,4,2,67
766,1.30,15,15,8,3
317,1.20,6,6,3,5
2083,0.29,42,42,21,7
484,0.20,10,10,5,50
9900,0.34,198,198,99,8
566,1.20,11,11,6,5
1950,0.09,39,39,20,8
5067,1.27,101,101,51,4
950,0.19,19,19,10,17
1867,0.09,37,37,19,8
516,0.20,10,10,5,33
4984,1.47,100,100,50,3
9900,0.54,198,198,99,7
450,0.20,9,9,5,33
1133,0.29,23,23,11,33
9900,0.04,198,198,99,4
450,0.10,9,9,5,9
9900,0.14,198,198,99,5
683,0.30,14,14,7,17
9900,0.34,198,198,99,5
434,0.10,9,9,4,50
350,0.10,7,7,4,33
9900,0.44,198,198,99,6
1000,0.19,20,20,10,50
5200,1.47,104,104,52,3
1100,0.09,22,22,11,17
2850,-0.02,57,57,29,33
9900,0.04,198,198,99,6
866,0.29,17,17,9,17
4634,0.07,93,93,46,17
9900,0.24,198,198,99,33
500,0.00,10,10,5,50
850,0.19,17,17,9,17
666,0.10,13,13,7,33
6900,0.36,138,138,69,17
1600,0.19,32,32,16,9
9900,0.24,198,198,99,4
9900,0.14,198,198,99,3
5250,0.27,105,105,53,1
484,0.20,10,10,5,33
5400,0.17,108,108,54,3
1050,0.09,21,21,11,33
6316,1.36,126,126,63,8
817,0.30,16,16,8,17
9900,0.24,198,198,99,9
617,0.10,12,12,6,50
2933,1.18,59,59,29,10
533,0.30,11,11,5,6
9900,0.34,198,198,99,3
9900,0.34,198,198,99,7
9900,-0.06,198,198,99,9
9900,0.34,198,198,99,4
9900,0.24,198,198,99,17
1284,1.39,26,26,13,3
9900,0.14,198,198,99,8
9900,0.04,198,198,99,17
9900,0.34,198,198,99,7
833,1.30,17,17,8,9
267,0.20,5,5,3,33
4850,1.57,97,97,49,2
1683,0.29,34,34,17,17
467,1.20,9,9,5,2
216,0.00,4,4,2,67
9900,0.44,198,198,99,6
584,1.30,12,12,6,8
4700,1.37,94,94,47,6
6366,1.26,127,127,64,3
9900,0.24,198,198,99,7
450,0.20,9,9,5,33
767,0.30,15,15,8,17
4600,1.27,92,92,46,7
533,0.30,11,11,5,33
9900,0.14,198,198,99,9
9900,0.24,198,198,99,3
3567,1.38,71,71,36,1
8133,1.15,163,163,81,7
850,0.09,17,17,9,3
7217,0.06,144,144,72,17
617,0.10,12,12,6,17
9900,0.04,198,198,99,9
7600,1.55,152,152,76,8
9900,0.14,198,198,99,9
9900,0.04,198,198,99,10
9900,0.14,198,198,99,8
3050,0.18,61,61,31,4
366,0.20,7,7,4,9
517,0.20,10,10,5,50
1150,1.19,23,23,12,10
3467,1.58,69,69,35,10
933,1.19,19,19,9,1
9900,0.24,198,198,99,6
483,0.30,10,10,5,33
6000,1.26,120,120,60,1
9900,0.04,198,198,99,4
284,1.20,6,6,3,2
9900,0.04,198,198,99,17
550,1.20,11,11,6,9
266,0.10,5,5,3,17
784,0.20,16,16,8,50
3783,0.18,76,76,38,6
483,0.40,10,10,5,5
334,0.00,7,7,3,33
9900,0.24,198,198,99,17
2833,1.48,57,57,28,2
