Setp Count,Reward,Steps Time,Time to MaxSetp,Stress
3716,1.38,74,74,37
334,0.20,7,7,3
9900,0.24,198,198,99
7300,1.56,146,146,73
1716,1.39,34,34,17
9900,0.34,198,198,99
1150,0.29,23,23,12
517,0.20,10,10,5
5667,1.47,113,113,57
4366,0.37,87,87,44
734,0.30,15,15,7
6500,1.46,130,130,65
7066,1.46,141,141,71
9900,0.34,198,198,99
9900,0.14,198,198,99
517,0.20,10,10,5
9900,0.24,198,198,99
7617,1.35,152,152,76
7233,1.56,145,145,72
6983,0.46,140,140,70
9900,0.14,198,198,99
1117,1.39,22,22,11
9900,0.14,198,198,99
9900,0.44,198,198,99
633,1.30,13,13,6
9900,0.14,198,198,99
384,0.20,8,8,4
3183,1.28,64,64,32
9900,0.14,198,198,99
9900,0.24,198,198,99
9900,0.14,198,198,99
2150,1.29,43,43,22
8400,1.25,168,168,84
2667,1.28,53,53,27
8533,1.45,171,171,85
917,0.29,18,18,9
766,1.40,15,15,8
8600,1.35,172,172,86
7884,1.25,158,158,79
9900,0.14,198,198,99
4033,1.28,81,81,40
9900,0.14,198,198,99
4467,1.27,89,89,45
9900,0.34,198,198,99
6333,1.26,127,127,63
3050,1.58,61,61,31
1683,1.29,34,34,17
9900,0.44,198,198,99
9900,0.34,198,198,99
500,0.30,10,10,5
3534,1.38,71,71,35
1433,1.49,29,29,14
9900,0.14,198,198,99
9667,1.34,193,193,97
3533,1.38,71,71,35
9900,0.14,198,198,99
1000,0.29,20,20,10
1867,1.39,37,37,19
3983,1.48,80,80,40
1817,1.29,36,36,18
9900,0.14,198,198,99
9900,0.24,198,198,99
400,0.30,8,8,4
616,0.10,12,12,6
9900,0.14,198,198,99
9900,0.34,198,198,99
6250,1.46,125,125,63
9900,0.44,198,198,99
9900,0.24,198,198,99
950,0.29,19,19,10
9900,0.24,198,198,99
9900,0.34,198,198,99
2934,1.38,59,59,29
2383,0.29,48,48,24
300,0.00,6,6,3
1633,1.29,33,33,16
9900,0.34,198,198,99
1134,1.29,23,23,11
3650,1.48,73,73,37
5000,1.47,100,100,50
9900,0.14,198,198,99
2783,0.28,56,56,28
3917,1.38,78,78,39
250,0.10,5,5,3
3200,1.48,64,64,32
400,0.00,8,8,4
666,0.30,13,13,7
700,0.20,14,14,7
2317,0.39,46,46,23
9900,0.04,198,198,99
1783,0.29,36,36,18
9900,0.24,198,198,99
9900,0.34,198,198,99
300,0.20,6,6,3
1317,0.49,26,26,13
733,0.20,15,15,7
2417,0.19,48,48,24
9900,0.24,198,198,99
2450,1.39,49,49,25
9900,0.14,198,198,99
9900,0.14,198,198,99
1050,1.29,21,21,11
4433,1.57,89,89,44
9900,0.24,198,198,99
9900,0.34,198,198,99
9900,-0.06,198,198,99
9900,0.34,198,198,99
9900,0.14,198,198,99
9900,0.44,198,198,99
7217,1.46,144,144,72
9900,0.34,198,198,99
9900,0.04,198,198,99
9900,0.44,198,198,99
9900,0.44,198,198,99
9900,0.34,198,198,99
1383,1.49,28,28,14
9900,0.14,198,198,99
1000,0.09,20,20,10
8700,1.25,174,174,87
3417,1.38,68,68,34
9900,0.14,198,198,99
9900,0.44,198,198,99
9900,0.14,198,198,99
9900,0.14,198,198,99
1767,0.29,35,35,18
350,0.30,7,7,4
250,0.20,5,5,3
2500,1.39,50,50,25
833,0.30,17,17,8
9900,0.04,198,198,99
9900,0.44,198,198,99
7900,1.35,158,158,79
9900,0.24,198,198,99
9900,0.24,198,198,99
1200,0.39,24,24,12
9900,0.14,198,198,99
5967,1.26,119,119,60
9900,0.14,198,198,99
9900,0.34,198,198,99
3400,1.48,68,68,34
4433,1.57,89,89,44
8017,1.45,160,160,80
1000,1.29,20,20,10
583,0.20,12,12,6
9900,0.34,198,198,99
533,0.20,11,11,5
484,0.20,10,10,5
2733,0.18,55,55,27
5950,1.46,119,119,60
400,0.20,8,8,4
9850,1.54,197,197,99
8467,1.45,169,169,85
416,0.10,8,8,4
634,0.20,13,13,6
300,0.10,6,6,3
250,0.00,5,5,3
9900,0.14,198,198,99
216,1.30,4,4,2
367,0.40,7,7,4
750,0.00,15,15,8
417,0.20,8,8,4
3950,0.28,79,79,40
4916,1.47,98,98,49
250,0.20,5,5,3
534,0.20,11,11,5
1000,0.29,20,20,10
383,0.30,8,8,4
1333,1.39,27,27,13
9900,-0.06,198,198,99
9900,0.24,198,198,99
434,0.30,9,9,4
2716,0.08,54,54,27
384,0.20,8,8,4
9900,0.34,198,198,99
316,0.20,6,6,3
5584,1.47,112,112,56
2850,1.48,57,57,29
3450,1.38,69,69,35
4650,1.27,93,93,47
9900,0.14,198,198,99
7383,1.36,148,148,74
9900,0.14,198,198,99
8567,1.45,171,171,86
9900,0.24,198,198,99
900,1.29,18,18,9
9900,0.24,198,198,99
666,0.20,13,13,7
667,0.20,13,13,7
917,0.19,18,18,9
300,0.20,6,6,3
9900,0.14,198,198,99
1166,0.29,23,23,12
9900,0.24,198,198,99
917,1.29,18,18,9
6900,1.56,138,138,69
2233,-0.01,45,45,22
9900,0.04,198,198,99
800,0.20,16,16,8
3984,0.38,80,80,40
9900,0.24,198,198,99
1133,1.49,23,23,11
3250,1.28,65,65,33
1000,1.49,20,20,10
433,0.30,9,9,4
9900,0.04,198,198,99
2434,1.39,49,49,24
300,0.10,6,6,3
9900,0.04,198,198,99
983,1.59,20,20,10
9900,0.24,198,198,99
2517,1.58,50,50,25
9900,0.44,198,198,99
2333,0.19,47,47,23
5183,1.27,104,104,52
5034,0.27,101,101,50
1233,1.39,25,25,12
9900,0.14,198,198,99
9900,0.34,198,198,99
3100,1.48,62,62,31
9900,0.24,198,198,99
4567,1.57,91,91,46
433,0.30,9,9,4
1067,0.39,21,21,11
1333,0.19,27,27,13
9900,0.24,198,198,99
800,0.30,16,16,8
800,0.10,16,16,8
9900,0.44,198,198,99
500,0.20,10,10,5
9900,0.14,198,198,99
5633,1.27,113,113,56
9900,0.14,198,198,99
9900,0.34,198,198,99
4134,1.28,83,83,41
9900,0.24,198,198,99
9900,0.24,198,198,99
4500,1.27,90,90,45
9900,0.24,198,198,99
350,0.20,7,7,4
1633,1.29,33,33,16
5717,1.37,114,114,57
3850,1.28,77,77,39
9900,0.34,198,198,99
300,0.20,6,6,3
3033,0.28,61,61,30
500,0.10,10,10,5
