Setp Count,Reward,Steps Time,Time to MaxSetp
5950,1.3643,119,119
583,0.1964,11.67578,11.67578
7284,1.556304,145.6641,145.6641
2133,1.3871,42.66797,42.66797
8767,1.247399,175.332,175.332
366,-0.0022,7.335938,7.335938
1317,0.2920002,26.34766,26.34766
417,0.1975,8.332031,8.332031
733,0.1956,14.66797,14.66797
967,0.2941001,19.33984,19.33984
6750,0.4595037,135,135
883,0.1946999,17.66797,17.66797
1467,1.391201,29.33203,29.33203
216,0.2987001,4.335938,4.335938
2934,1.2823,58.67969,58.67969
200,0.1988,4,4
900,0.09449993,18,18
2733,0.2835003,54.66797,54.66797
333,0.198,6.667969,6.667969
1017,0.09389997,20.33203,20.33203
600,0.09639994,12,12
583,0.2964002,11.67578,11.67578
7484,1.355102,149.6641,149.6641
350,0.09789997,7,7
566,0.2966001,11.33594,11.33594
7200,1.356802,144,144
817,0.2951,16.33203,16.33203
517,0.09679998,10.33984,10.33984
7233,1.256599,144.668,144.668
833,0.1949999,16.66797,16.66797
367,0.09779997,7.332031,7.332031
4100,1.575401,82,82
733,0.1956,14.66797,14.66797
6067,0.2635996,121.332,121.332
4383,0.2737,87.66797,87.66797
4884,1.2707,97.66406,97.66406
700,0.2958005,14,14
466,0.1972,9.335938,9.335938
584,1.2965,11.66406,11.66406
8783,1.347306,175.668,175.668
9883,1.240699,197.668,197.668
1000,1.2939,20.01563,20.01563
3134,1.2811,62.67969,62.67969
8483,1.449105,169.668,169.668
533,0.1968,10.66797,10.66797
634,0.1961,12.67969,12.67969
1066,0.2936002,21.33594,21.33594
4234,0.3746002,84.66406,84.66406
8466,1.349202,169.3359,169.3359
3184,1.2808,63.67969,63.67969
716,1.2957,14.33594,14.33594
450,0.2972002,9.015625,9.015625
7067,1.257599,141.3359,141.3359
4417,1.2734,88.34375,88.34375
2483,0.1851,49.67188,49.67188
917,0.09449993,18.32813,18.32813
1383,0.09169997,27.67188,27.67188
4267,1.374402,85.32813,85.32813
2766,1.3834,55.33594,55.33594
967,1.2941,19.35156,19.35156
400,0.09749997,8.015625,8.015625
2033,1.2878,40.66406,40.66406
1967,0.2882,39.33594,39.33594
2817,0.2829999,56.34375,56.34375
233,-0.0014,4.671875,4.671875
833,1.295,16.66406,16.66406
2184,1.386801,43.67969,43.67969
1816,0.1890998,36.33594,36.33594
2434,1.2853,48.67969,48.67969
1016,0.1939,20.33594,20.33594
384,0.1977,7.664063,7.664063
1283,0.2923002,25.67188,25.67188
883,0.1947,17.66406,17.66406
317,0.1981,6.335938,6.335938
683,0.1958999,13.66406,13.66406
784,0.1952999,15.66406,15.66406
866,1.2948,17.33594,17.33594
5234,1.2686,104.6641,104.6641
783,0.2953002,15.67188,15.67188
600,0.2963001,12.01563,12.01563
